id,problem_description_id,object_type_id,solution_obj_id,user_name,upvotes,downvotes,calculated_effective_percentage
7,25,1,MOP-X1234,khali.saran@ascendo.ai,0,1,0
6,25,1,MOP-X1234,khali.saran@ascendo.ai,1,0,0
8,12,3,FSB-W4567,ronny.randomperson@idk.com,1,0,
9,22,5,MOP-S234,jack@salesforce.com,0,1,
10,1,1,FSB-W4567,khali.saran@ascendo.ai,0,1,
11,25,1,MOP-X1234,jack@salesforce.com,1,0,
12,25,1,MOP-X1234,ronny.randomperson@idk.com,1,0,
13,1,2,FSB-W4567,xyz@idk.com,0,1,
14,25,1,MOP-X9876,xyz@idk.com,1,0,
15,12,3,FSB-R2222,khali.saran@ascendo.ai,1,0,
16,2,7,FSB-O0000,jack@salesforce.com,1,0,
17,31,4,FSB-O0000,ronny.randomperson@idk.com,1,0,
18,23,6,MOP-S333,captain@google.com,1,0,
19,23,6,MOP-L777,jack@salesforce.com,1,0,
20,24,6,MOP-M888,ronny.randomperson@idk.com,1,0,
21,24,6,MOP-L777,captain@google.com,1,0,
22,32,6,MOP-S333,xyz@idk.com,1,0,
23,32,6,MOP-S333,captain@google.com,1,0,
24,32,6,MOP-L777,khali.saran@ascendo.ai,0,1,
25,31,4,FSB-O0000,xyz@idk.com,1,0,
26,31,4,FSB-O0000,khali.saran@ascendo.ai,1,0,
27,31,4,FSB-O0000,captain@google.com,1,0,
28,31,4,FSB-O0000,ronny.randomperson@idk.com,1,0,
29,22,5,MOP-S234,captain@google.com,1,0,
30,22,5,MOP-S234,jack@salesforce.com,1,0,
31,22,5,MOP-S234,khali.saran@ascendo.ai,0,1,
32,22,5,MOP-S234,xyz@idk.com,1,0,
33,1,1,FSB-W4569,xyz@idk.com,1,0,
34,1,1,FSB-W4569,jack@salesforce.com,1,0,
35,1,1,FSB-W4569,jack@salesforce.com,1,0,
36,1,1,FSB-W4569,jack@salesforce.com,1,0,
37,12,3,FSB-W4567,ronny.randomperson@idk.com,1,0,
38,12,3,FSB-W4567,ronny.randomperson@idk.com,1,0,
39,12,3,FSB-W4567,ronny.randomperson@idk.com,1,0,
40,12,3,FSB-W4567,ronny.randomperson@idk.com,1,0,
41,12,3,FSB-W4567,ronny.randomperson@idk.com,1,0,
42,12,3,FSB-W4567,ronny.randomperson@idk.com,1,0,
43,12,3,FSB-W4567,ronny.randomperson@idk.com,1,0,
44,32,6,MOP-L777,khali.saran@ascendo.ai,0,1,
45,32,6,MOP-L777,khali.saran@ascendo.ai,0,1,
46,32,6,MOP-L777,khali.saran@ascendo.ai,0,1,
47,32,6,MOP-L777,khali.saran@ascendo.ai,0,1,
48,32,6,MOP-L777,khali.saran@ascendo.ai,0,1,
49,2,7,FSB-O0000,jack@salesforce.com,1,0,
50,2,7,FSB-O0000,jack@salesforce.com,1,0,
51,2,7,FSB-O0000,jack@salesforce.com,1,0,
52,2,7,FSB-O0000,jack@salesforce.com,1,0,
53,2,7,FSB-O0000,jack@salesforce.com,1,0,
57,25,1,MOP-X9876,xyz@idk.com,0,1,
58,25,1,MOP-X9876,xyz@idk.com,0,1,
59,25,1,MOP-X9876,xyz@idk.com,0,1,
60,12,3,FSB-W4567,ronny.randomperson@idk.com,0,1,
61,12,3,FSB-W4567,ronny.randomperson@idk.com,0,1,
64,32,6,MOP-L777,khali.saran@ascendo.ai,0,1,
65,2,7,FSB-O0000,jack@salesforce.com,0,1,
66,2,7,FSB-O0000,jack@salesforce.com,0,1,
67,2,7,FSB-O0000,jack@salesforce.com,0,1,
68,25,1,MOP-X9876,xyz@idk.com,0,1,
69,24,6,MOP-M888,ronny.randomperson@idk.com,1,0,
70,24,6,MOP-M888,ronny.randomperson@idk.com,1,0,
71,24,6,MOP-M888,ronny.randomperson@idk.com,1,0,
72,12,3,FSB-R2222,khali.saran@ascendo.ai,1,0,
73,12,3,FSB-R2222,khali.saran@ascendo.ai,1,0,
74,12,3,FSB-R2222,khali.saran@ascendo.ai,1,0,
75,12,3,FSB-R2222,khali.saran@ascendo.ai,1,0,
76,12,3,FSB-R2222,khali.saran@ascendo.ai,0,1,
77,23,6,MOP-L777,jack@salesforce.com,0,1,
78,23,6,MOP-L777,jack@salesforce.com,0,1,
79,23,6,MOP-L777,jack@salesforce.com,0,1,
80,23,6,MOP-L777,jack@salesforce.com,0,1,
81,23,6,MOP-L777,jack@salesforce.com,0,1,
82,23,6,MOP-L777,jack@salesforce.com,0,1,
83,25,1,MOP-X9876,xyz@idk.com,0,1,
84,25,1,MOP-X9877,xyz@idk.com,0,1,
85,25,1,MOP-X9878,xyz@idk.com,0,1,
86,25,1,MOP-X9879,xyz@idk.com,0,1,
87,25,1,MOP-X9880,xyz@idk.com,1,0,
88,25,1,MOP-X9880,xyz@idk.com,1,0,
89,25,1,MOP-X9880,xyz@idk.com,1,0,
90,25,1,MOP-X9880,xyz@idk.com,1,0,
91,25,1,MOP-X9880,xyz@idk.com,1,0,
